采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017/5/9,艺点理财,40,12%,8,2.99,1,0,4373.5,41.2
2017/5/9,步步盈,40,9.66%,76,9,1,16.11,12013.85,-74.04
2017/5/9,京金所,40,8%,14,1.68,2,1347.52,18085.84,-17.45
2017/5/9,橙旗贷,40,10%,9,3,1,3080.69,13604.16,41
2017/5/9,惠富天下,40,14.25%,20,7.75,4,0,0,-0.23
2017/5/9,微积金,39.69,11.34%,45,3.09,3,34.76,17661.66,0
2017/5/9,日融财富,39.3,12.85%,24,6.92,5,116.53,1710.99,25.86
2017/5/9,利好贷,36,14.24%,0,5.67,2,0.16,5272.41,-12.67
2017/5/9,闲钱宝,36,11.28%,20,4.67,3,133.18,5920.42,18.68
2017/5/9,金福财富,35.4,12.48%,30,6.45,4,193.92,4864,13.86
2017/5/9,喔喔贷,34,8.35%,10,3.65,3,1.74,12481.16,-95.39
2017/5/9,恒利网,33.5,10.11%,38,2.73,4,65.04,2122.39,15.19
2017/5/9,益投网贷,33,15.30%,14,2.74,2,802.37,1807.4,-0.11
2017/5/9,佰易贷,31.51,12%,27,9.93,3,596.7,3566.36,18.66
2017/5/9,优车融,31,14%,15,1,5,15.41,2066.94,10.12
2017/5/9,找银子,30.4,9.26%,10,3.79,4,2763.58,1471.21,-0.29
2017/5/9,金陵贷,30.3,10.80%,17,1,4,569.5,889.08,1.19
2017/5/9,汇付四海,30.23,8%,12,1.5,1,42.23,2479.63,-23.29
2017/5/9,物金所,30,11.04%,11,4.11,3,446.67,11787.69,-1.97
2017/5/9,冀金宝,30,14%,15,12,3,6.33,4693.01,23.04
2017/5/9,冠腾贷,30,16%,3,4,1,0,2864.63,20.99
2017/5/9,快捷财富,30,13%,6,1,1,5329,1001.49,-30.88
2017/5/9,鲁金所,29.9,8.43%,15,2.45,6,97.32,2905.78,-23.12
2017/5/9,网筹金融,28,9.50%,6,6,2,455.32,2376.67,29.29
2017/5/9,捷创贷,27.84,13%,12,1,5,234.75,536.61,2.87
2017/5/9,泛湾天域,27,13.52%,16,4.04,3,192.33,3990.19,7.31
2017/5/9,车赚,27,15%,8,1,2,0.2,1050.76,-10.83
2017/5/9,奔宝贷,26.71,14%,9,9.84,2,4122.34,2722.56,-21.42
2017/5/9,寻贷网,25.67,9.40%,19,3.44,2,1909.61,5222.99,16.73
2017/5/9,蜀丰财富,25,10%,24,1,5,1.05,1878.11,-0.1
2017/5/9,睿信财富,25,12.32%,9,2.2,1,2263,146.03,25.28
2017/5/9,惠投无忧,24.5,9.24%,30,3.73,3,16.56,7840.21,-5.69
2017/5/9,亿信天合,23.84,8%,13,1,5,28.84,380.22,-3.84
2017/5/9,禾泰财富,22.88,12.27%,8,3.03,1,1778.35,6361.84,-8.29
2017/5/9,惠车贷,22,15%,35,1,2,679.32,1325.16,-5.75
2017/5/9,云回通宝,22,15.60%,2,1,2,0,5163.24,-27.58
2017/5/9,真鑫贷,22,11.40%,1,1,1,240.13,120.93,-131.54
2017/5/9,爱上贷,22,15.07%,18,1,6,0.28,875.22,-0.06
2017/5/9,首信创投,20.5,12.07%,24,1,3,76.58,1524.72,-11.48
2017/5/9,中融通贷,20,11%,3,1,2,16.17,5533.03,-22.16
2017/5/9,就爱金融,20,9%,10,6,1,137,1811.32,20
2017/5/9,跃龙财富,20,18%,17,3.2,5,1.6,1128.55,15.81
2017/5/9,温易贷,20,13.80%,9,1,1,310.1,606.9,0
2017/5/9,赢贷通,20,12%,23,4,1,13,6962.94,-83.77
2017/5/9,收获宝,20,12%,7,12,1,0,4195.5,17.32
2017/5/9,亿钱贷,20,12.30%,1,3,1,5730.18,1458.67,20.62
2017/5/9,贴身贷,19,9.40%,7,2.42,5,23.45,573.1,6.58
2017/5/9,微镇,18.61,9.42%,19,5.37,12,0,6376.97,0
2017/5/9,飞特金融,18,12.35%,20,1.56,2,0.13,1594,3.42
2017/5/9,今日捷财,18,9.30%,0,1.7,2,0,29177.33,-111.29
2017/5/9,OK贷 ,17.68,10%,1,14.63,1,18.24,13718.52,-99.88
2017/5/9,宜人贷,17.68,12.12%,173,36.36,1,0.66,3313279.55,0
2017/5/9,前沿财富,17.5,17.40%,37,6.6,6,2.35,4774.15,-4.9
2017/5/9,如意财富,16.5,13.64%,14,4.09,2,2089.5,954.68,-18.58
2017/5/9,中投融,16.24,7%,21,0.78,2,674.19,208867.5,-199.06
2017/5/9,宁创贷,15.45,10.10%,13,1.02,1,1.23,14284.71,-5.54
2017/5/9,便民投,15.32,7%,9,0.23,1,2138.71,526.23,15.14
2017/5/9,票金所,15.23,7.49%,36,1.13,2,56.82,3959.41,-184.96
2017/5/9,熊猫贷,15,16.20%,2,1,2,0.5,2178.54,-0.56
2017/5/9,码头益,14.4,9.28%,4,3.57,2,3434.71,1321.7,7.86
2017/5/9,光合种子,14,9.50%,8,5.67,1,4640.8,3025.17,14.5
2017/5/9,亿亿理财,14,10.97%,16,1.29,2,0,1704.99,1.07
2017/5/9,车富88,13.9,10.78%,17,5.21,5,0.98,4108.81,-46.27
2017/5/9,众联财富,13.3,12.50%,15,1,2,0.25,773.31,3.28
2017/5/9,粒子财富,13,12%,14,1,2,26.15,1909.42,-6.52
2017/5/9,一一贷,12.6,6.90%,13,3.33,4,12.76,6102.9,-12.67
2017/5/9,钱来也,12,12%,5,1,1,4.56,465.89,-10.1
2017/5/9,易汇人人,12,7.95%,9,4.5,2,274.73,1312.78,-5.01
2017/5/9,创绩宝,11,9.05%,21,2.09,2,0,2014.51,4.54
2017/5/9,汇投网,10.3,9.36%,8,2.87,1,930.19,7548.07,0
2017/5/9,融易投,10,12.50%,34,6,1,133.4,2299.34,-2.72
2017/5/9,丰泽财富,10,15%,1,1.5,2,0,1522.98,-8.95
2017/5/9,迈信金融,10,8%,3,6,1,5897.3,1372.33,10
2017/5/9,泰山金融,10,10%,3,12,1,4193.4,11272.13,7.42
2017/5/9,聚宝珠,9.8,10%,3,0.92,3,2997.35,545.94,-0.16
2017/5/9,惠农时贷,9.19,7.72%,11,7.43,2,60,932.71,5.85
2017/5/9,小白菜理财,8.8,7.50%,1,0.5,1,0,417.87,-18.61
2017/5/9,车融资,6,10%,10,3.1,1,0,4102.62,-39.23
2017/5/9,投促金融,5.95,10%,9,24,1,3280.8,13238.47,4.31
2017/5/9,振源财富,5,18%,1,3,1,0,1301.36,-0.32
2017/5/9,飞鸟金融,4.4,10%,0,1,1,0,1121.49,4.43
2017/5/9,平平贷,4,15%,7,2.75,3,0.14,304.46,-0.47
2017/5/9,花生米富,3.24,13.65%,5,0.92,9,0,11392.55,0
2017/5/9,爱米理财,3.19,12.75%,2,18.36,1,2.7,44001.26,0
2017/5/9,优聚投,3,15%,0,0.23,1,1626.59,1390.19,3.01
2017/5/9,178网贷,3,14%,3,1,1,136.41,229.99,0.97
2017/5/9,中恒宝,3,5.27%,2,0.28,2,30.15,12847.91,-2.1
2017/5/9,麻袋理财,0.99,8.84%,10144,15.76,8,0,739422.13,-979.1
2017/5/9,亲亲小贷,0.42,14.26%,3,5.03,2,0.03,10418.26,0
2017/5/9,宝象金融,0.3,6.18%,1,1.11,1,0,57256.09,0
2017/5/9,易天贷,0.2,12%,21,0.2,1,0,1795.89,-5.62
2017/5/9,积木盒子,0.2,6.86%,11,1.85,9,0.16,469803.48,-3966.58
2017/5/9,e路同心,0.01,8.86%,1,1.79,1,0,109854.29,0
2017/5/9,善林宝,0,0%,0,0,0,0,10327.14,0
2017/5/9,东方汇,0,0%,0,0,0,0,287765.91,0
2017/5/9,普惠家,0,0%,0,0,0,0,275720.09,0
2017/5/9,升值空间,0,0%,0,0,0,0,13070.94,0
2017/5/9,多赢,0,0%,0,0,0,0,52648.5,0
2017/5/9,米缸金融,0,0%,0,0,0,0,242614.03,0
2017/5/9,58财福,0,0%,0,0,0,0,6576.62,0
2017/5/9,聚宝匯,0,0%,0,0,0,0,2823015.86,0
2017/5/9,龙贷,0,0%,0,0,0,0,33570.91,-131.11
2017/5/9,森昊好时贷,0,0%,0,0,0,0,49324.18,0
2017/5/9,小鸡理财,0,0%,0,0,0,0,19844.47,0
2017/5/9,金票通,0,0%,0,0,0,0,1131121.97,0
2017/5/9,中潮金服,0,0%,0,0,0,0,10037.85,0
2017/5/9,君融贷,0,0%,0,0,0,0,162907.17,-109.91
2017/5/9,银票网,0,0%,0,0,0,0,69789.17,-2267.59
2017/5/9,金宝保,0,0%,0,0,0,0,174451.92,0
2017/5/9,沙小僧,0,0%,0,0,0,0,15683.77,0
2017/5/9,固金所,0,0%,0,0,0,0,8494.72,0
2017/5/9,多融财富,0,0%,0,0,0,0,42862.71,0
2017/5/9,钱贷网,0,0%,0,0,0,0,18062.56,-77.42
2017/5/9,城铁在融,0,0%,0,0,0,0,10256.88,0
2017/5/9,爱投金融,0,0%,0,0,0,0,23460.84,0
2017/5/9,星月创投,0,0%,0,0,0,0,20301.14,-106.53
2017/5/9,信广立诚贷,0,0%,0,0,0,0,46553.76,0
2017/5/9,中瑞财富,0,0%,0,0,0,0,73074.82,0
2017/5/9,钱道网,0,0%,0,0,0,0,10087.35,0
2017/5/9,来存吧,0,0%,0,0,0,0,74172.62,0
2017/5/9,鹏金所,0,0%,0,0,0,0,799968.46,0
2017/5/9,联金所,0,0%,0,0,0,0,52080.77,0
2017/5/9,三信贷,0,0%,0,0,0,0,40710.1,-376.51
2017/5/9,科瑞财富,0,0%,1,0,0,0,2020.36,-1.21
2017/5/9,开鑫金服,0,0%,0,0,0,0,1016977.23,-4388.26
2017/5/9,鑫华士,0,0%,0,0,0,0,0,0
2017/5/9,紫枫信贷,0,0%,0,0,0,0,2591.78,-6.28
2017/5/9,小鹅e贷,0,0%,1,0,0,0,50.95,-20.2
2017/5/9,众房宝,0,0%,56,0,0,0,6623.18,-71.93
2017/5/9,点点财富,0,0%,0,0,0,0,5375.84,-69.34
2017/5/9,投储在线,0,0%,0,0,0,0,659.36,-6.17
2017/5/9,中青金服福,0,0%,0,0,0,0,0,0
2017/5/9,金柜贷,0,0%,0,0,0,0,1204.87,-19.24
2017/5/9,国惠金融,0,0%,0,0,0,0,0,0
2017/5/9,徽金猫,0,0%,0,0,0,0,3405.44,-20.6
2017/5/9,钱程在线,0,0%,0,0,0,0,7435.99,-0.73
2017/5/9,天天贷,0,0%,0,0,0,0,5.51,-0.01
2017/5/9,首E家,0,0%,0,0,0,0,209506.17,-299.26
2017/5/9,宁安贷,0,0%,0,0,0,0,2229.04,-19.78
2017/5/9,新华贷,0,0%,0,0,0,0,0,0
2017/5/9,e租宝,0,0%,0,0,0,0,0,0
2017/5/9,青岛汇泉贷,0,0%,0,0,0,0,45773.48,-91.85
2017/5/9,小赢理财,0,0%,0,0,0,0,1593612.46,-6053.26
2017/5/9,猴子理财,0,0%,0,0,0,0,1819.1,-81.49
2017/5/9,财富派,0,0%,0,0,0,0,24656.9,-456.68
2017/5/9,草根新贷,0,0%,0,0,0,0,1256.73,-9.16
2017/5/9,贝贝创投,0,0%,0,0,0,0,0,0
2017/5/9,顺顺贷,0,0%,10,0,0,0,1230.67,-50.59
2017/5/9,宏鑫宝,0,0%,0,0,0,0,544.72,-15.2
2017/5/9,微金在线,0,0%,0,0,0,0,2781.49,-141.26
2017/5/9,创融在线,0,0%,0,0,0,0,877.83,-13.42
2017/5/9,莆商贷,0,0%,0,0,0,0,1325.34,0
2017/5/9,来财街,0,0%,0,0,0,0,0,0
2017/5/9,京贷网,0,0%,0,0,0,0,1033.85,-22.15
2017/5/9,平安理财网,0,0%,0,0,0,0,6327.88,-101.58
2017/5/9,乐升易贷,0,0%,0,0,0,0,810.51,-0.6
2017/5/9,万家兄弟,0,0%,0,0,0,0,0,-153.43
2017/5/9,小油菜,0,0%,0,0,0,0,21800.75,-207.22
2017/5/9,聚众金融,0,0%,0,0,0,0,94.72,-0.17
2017/5/9,智融会,0,0%,0,0,0,0,6482.42,-254.12
2017/5/9,渣丰投资,0,0%,0,0,0,0,0,0
2017/5/9,搜易贷,0,0%,0,0,0,0,14049.37,0
2017/5/9,聚投融,0,0%,0,0,0,0,0,0
2017/5/9,随时融,0,0%,0,0,0,0,106.38,-3.23
2017/5/9,万富宝,0,0%,0,0,0,0,3422.9,-78.86
2017/5/9,中国融信贷,0,0%,0,0,0,0,-15.21,-0.31
2017/5/9,聚融在线,0,0%,0,0,0,0,578.75,-8.3
2017/5/9,产融贷,0,0%,0,0,0,0,454.5,-3.03
2017/5/9,宏金多,0,0%,0,0,0,0,140.29,0
2017/5/9,钱海湾,0,0%,0,0,0,0,0,0
2017/5/9,幸福贷,0,0%,0,0,0,0,0,0
2017/5/9,智佳金服,0,0%,0,0,0,0,4883.36,-41.63
2017/5/9,钱富通,0,0%,0,0,0,0,6080.11,-30.11
2017/5/9,潮人贷,0,0%,0,0,0,0,4554.47,-1.35
2017/5/9,有融网,0,0%,0,0,0,0,50295.55,-712.58
2017/5/9,金海财富,0,0%,0,0,0,0,1073.94,-11.98
2017/5/9,逍遥贷,0,0%,0,0,0,0,0,0
2017/5/9,吉贷网,0,0%,0,0,0,0,0,0
2017/5/9,金桥梁,0,0%,0,0,0,0,20194.52,-353.74
2017/5/9,笨小孩理财,0,0%,0,0,0,0,4645.05,-36.5
2017/5/9,沃联财富,0,0%,1,0,0,0,430.34,-0.22
2017/5/9,诚甄财富,0,0%,0,0,0,0,1569.4,-40.76
2017/5/9,利融网,0,0%,0,0,0,0,1115.34,-32.29
2017/5/9,隆泰贷,0,0%,0,0,0,0,2356.92,-37.02
2017/5/9,瑞涛财富,0,0%,7,0,0,0,474.63,-30.36
2017/5/9,皖都金融,0,0%,0,0,0,0,2284.29,-20.41
2017/5/9,今金贷,0,0%,0,0,0,0,541.59,0
2017/5/9,联保投资网,0,0%,0,0,0,0,157.57,0
2017/5/9,滴滴理财,0,0%,0,0,0,0,2528.72,-72.1
2017/5/9,易融贷,0,0%,0,0,0,0,0,0
2017/5/9,点银网,0,0%,0,0,0,0,907.46,0
2017/5/9,新富金融,0,0%,0,0,0,0,9900.17,-1.88
2017/5/9,天天财富,0,0%,0,0,0,0,4567.05,-0.58
2017/5/9,万贝贷,0,0%,0,0,0,0,1946.88,-1
2017/5/9,鄂汇金融,0,0%,0,0,0,0,11185.33,-161.09
2017/5/9,凤凰金融,0,0%,0,0,0,0,0,2527.99
2017/5/9,宏信创投,0,0%,0,0,0,0,0,0
2017/5/9,YES金融,0,0%,1,0,0,0,2092.56,-29.55
2017/5/9,睿银财富,0,0%,0,0,0,0,0,0
2017/5/9,多多智富,0,0%,0,0,0,0,0,0
2017/5/9,甬e贷,0,0%,0,0,0,0,1395.25,-16.61
2017/5/9,点石金融,0,0%,9,0,0,0,860.47,-20.5
2017/5/9,永利宝,0,0%,933,0,0,0,37278.33,-462.85
2017/5/9,众可贷,0,0%,0,0,0,0,1832.18,-1.91
2017/5/9,好借好贷,0,0%,0,0,0,0,0,0
2017/5/9,九信金融,0,0%,0,0,0,0,8694.97,-128.88
2017/5/9,友金所,0,0%,0,0,0,0,213625.6,-276.53
2017/5/9,诚投在线,0,0%,0,0,0,0,5214.35,-2.5
2017/5/9,资本在线,0,0%,0,0,0,0,78690.23,-508.71
2017/5/9,意投财富,0,0%,0,0,0,0,0,0
2017/5/9,中盛金服,0,0%,0,0,0,0,0,0
2017/5/9,东方车贷,0,0%,0,0,0,0,3040.09,-43.82
2017/5/9,汇贷天下,0,0%,0,0,0,0,10349.59,-2.38
2017/5/9,普惠理财,0,0%,0,0,0,0,23113.76,-62.38
2017/5/9,贷乐网,0,0%,0,0,0,0,0,0
2017/5/9,融魔方,0,0%,0,0,0,0,0,0
2017/5/9,派派猪理财,0,0%,0,0,0,0,6735.46,-749.82
2017/5/9,信财贷,0,0%,0,0,0,0,1516.63,-0.16
2017/5/9,艺融网,0,0%,0,0,0,0,815.57,0
2017/5/9,贷贷巴,0,0%,0,0,0,0,0,0
2017/5/9,贷贷兴隆,0,0%,8,0,0,0,54841.19,-11.11
2017/5/9,上雨创投,0,0%,0,0,0,0,225.12,0
2017/5/9,神仙有财,0,0%,0,0,0,0,0,0
2017/5/9,钱诚理财,0,0%,0,0,0,0,1905.93,0
2017/5/9,力帆善融,0,0%,0,0,0,0,3969.35,0
2017/5/9,我企贷,0,0%,0,0,0,0,0,0
2017/5/9,速贷100,0,0%,0,0,0,0,1074.47,0
2017/5/9,正能贷,0,0%,0,0,0,0,684.02,-10.7
2017/5/9,小宝金服,0,0%,0,0,0,0,0,0
2017/5/9,91快车,0,0%,0,0,0,0,0,0
2017/5/9,百合贷,0,0%,11,0,0,0,33218.94,-38.5
2017/5/9,车能贷,0,0%,0,0,0,0,6589.69,-41.06
2017/5/9,白银巷子,0,0%,0,0,0,0,4031.22,-6.35
2017/5/9,周转贷,0,0%,0,0,0,0,35.27,0
2017/5/9,慈E贷,0,0%,0,0,0,0,3366.98,-60.39
2017/5/9,汉金所,0,0%,0,0,0,0,45313.07,-169.57
2017/5/9,轩辕财富,0,0%,0,0,0,0,11.53,0
2017/5/9,兆金所,0,0%,0,0,0,0,8669.84,-60.63
2017/5/9,普道财富,0,0%,55,0,0,0,13658,-104.48
2017/5/9,互惠理财网,0,0%,0,0,0,0,17715.67,-259.82
2017/5/9,国湘资本,0,0%,0,0,0,0,1175.91,-11.66
2017/5/9,贷未来,0,0%,0,0,0,0,3385.63,-2.49
2017/5/9,微信贷,0,0%,0,0,0,0,2766.6,0
2017/5/9,黄鹤金服,0,0%,0,0,0,0,0,0
2017/5/9,1号钱庄,0,0%,0,0,0,0,97.28,-11.43
2017/5/9,筷来财 ,0,0%,22,0,0,0,12873.23,-148.37
2017/5/9,当天金融,0,0%,0,0,0,0,0,0
2017/5/9,爱康金服,0,0%,62,0,0,0,39178.1,-725.26
2017/5/9,光彩玖玖,0,0%,17,0,0,0,12946.96,-83.96
2017/5/9,拍拍贷,0,0%,0,0,0,0,0,-10049.71
2017/5/9,快联财富,0,0%,23,0,0,0,55.4,-2.03
2017/5/9,百融网,0,0%,0,0,0,0,215.18,0
2017/5/9,四达投资,0,0%,0,0,0,0,1725.45,-3.92
2017/5/9,阿朋贷,0,0%,0,0,0,0,18521.33,-79.96
2017/5/9,国诚金融,0,0%,0,0,0,0,2741.98,-119.71
2017/5/9,医界贷,0,0%,0,0,0,0,64475.03,-245.12
2017/5/9,钱来网,0,0%,53,0,0,0,112028.52,-233.3
2017/5/9,69贷,0,0%,0,0,0,0,0,0
2017/5/9,车易贷,0,0%,0,0,0,0,19090.49,-156.13
2017/5/9,富仁金融,0,0%,0,0,0,0,0,0
2017/5/9,可乐贷,0,0%,0,0,0,0,57.04,0
2017/5/9,天玑汇富,0,0%,0,0,0,0,8992.59,-32.1
2017/5/9,相融网,0,0%,0,0,0,0,8710.33,-302.65
2017/5/9,融众网,0,0%,0,0,0,0,12391.86,-125.2
2017/5/9,融信网,0,0%,0,0,0,0,33820.12,-0.43
2017/5/9,首鸿财富,0,0%,0,0,0,0,1603.72,-75.92
2017/5/9,广群金融,0,0%,4,0,0,0,365.17,0
2017/5/9,e速贷,0,0%,0,0,0,0,3942.6,-116.71
2017/5/9,易米阳光,0,0%,0,0,0,0,1061.94,-0.04
2017/5/9,投融贷,0,0%,0,0,0,0,109.49,-0.11
2017/5/9,融裕贷,0,0%,0,0,0,0,775.12,-202.1
2017/5/9,分钱网,0,0%,11,0,0,0,9009.7,-2.45
2017/5/9,汇投资,0,0%,0,0,0,0,0,0
2017/5/9,满益网,0,0%,0,0,0,0,22913.83,-467.35
2017/5/9,私房投,0,0%,0,0,0,0,414.45,-29.06
2017/5/9,千金e诺,0,0%,0,0,0,0,1097.32,-0.57
2017/5/9,孔方兄,0,0%,0,0,0,0,0,0
2017/5/9,易e贷,0,0%,0,0,0,0,4886.42,-21.24
2017/5/9,融金宝,0,0%,0,0,0,0,40825.73,-959.15
2017/5/9,堆金网,0,0%,0,0,0,0,5187.92,-17.69
2017/5/9,融金桥,0,0%,1,0,0,0,4450.49,-0.69
2017/5/9,e融所,0,0%,0,0,0,0,0,639.72
2017/5/9,上网贷,0,0%,0,0,0,0,0,0
2017/5/9,人众金服,0,0%,0,0,0,0,70817.39,-49.63
2017/5/9,文宝保,0,0%,0,0,0,0,39162.96,-456.67
2017/5/9,广裕贷,0,0%,0,0,0,0,277.96,-5.95
2017/5/9,金统贷,0,0%,4,0,0,0,121.07,0
2017/5/9,点融网,0,0%,0,0,0,0,146152.81,-42.46
2017/5/9,慧融财富,0,0%,0,0,0,0,266.92,0
2017/5/9,合信金融,0,0%,0,0,0,0,1012.88,-0.8
2017/5/9,易宝金融,0,0%,0,0,0,0,3693.01,-281.1
2017/5/9,蛙蛙在线,0,0%,0,0,0,0,1350.3,-50.89
2017/5/9,票据客,0,0%,0,0,0,0,894.62,-77.99
2017/5/9,润合金融,0,0%,0,0,0,0,2372.65,-12.32
2017/5/9,贷金所,0,0%,0,0,0,0,14809.97,-156.6
2017/5/9,利聚网,0,0%,0,0,0,0,2906.33,-49.42
2017/5/9,苏丰创投,0,0%,0,0,0,0,0,0
2017/5/9,创赢易贷,0,0%,0,0,0,0,0,0
2017/5/9,合力贷,0,0%,0,0,0,0,23073.67,-158.01
2017/5/9,皮城金融,0,0%,0,0,0,0,68870.33,-290.17
2017/5/9,汉沃财富,0,0%,0,0,0,0,2939.62,-121.43
2017/5/9,贷贷网,0,0%,39,0,0,0,3829.62,-12.94
2017/5/9,易BANK,0,0%,0,0,0,0,6228.42,-51.73
2017/5/9,钱途在线,0,0%,0,0,0,0,812.67,-101
2017/5/9,立业贷,0,0%,0,0,0,0,18000.15,-157.42
